Title,Rating,Information
Fullmetal Alchemist: Brotherhood,9.17,"        TV (64 eps)        Apr 2009 - Jul 2010        2,447,999 members      "
Shingeki no Kyojin Season 3 Part 2,9.11,"        TV (10 eps)        Apr 2019 - Jul 2019        1,338,688 members      "
Steins;Gate,9.1,"        TV (24 eps)        Apr 2011 - Sep 2011        1,928,430 members      "
Gintama°,9.09,"        TV (51 eps)        Apr 2015 - Mar 2016        441,774 members      "
Hunter x Hunter (2011),9.07,"        TV (148 eps)        Oct 2011 - Sep 2014        1,910,120 members      "
Ginga Eiyuu Densetsu,9.06,"        OVA (110 eps)        Jan 1988 - Mar 1997        245,958 members      "
Gintama',9.06,"        TV (51 eps)        Apr 2011 - Mar 2012        394,986 members      "
Gintama': Enchousen,9.04,"        TV (13 eps)        Oct 2012 - Mar 2013        239,258 members      "
Shingeki no Kyojin: The Final Season,9,"        TV (16 eps)        Dec 2020 - Mar 2021        1,106,140 members      "
3-gatsu no Lion 2nd Season,8.99,"        TV (22 eps)        Oct 2017 - Mar 2018        293,685 members      "
Gintama.,8.98,"        TV (12 eps)        Jan 2017 - Mar 2017        222,025 members      "
Koe no Katachi,8.98,"        Movie (1 eps)        Sep 2016 - Sep 2016        1,573,927 members      "
Clannad: After Story,8.95,"        TV (24 eps)        Oct 2008 - Mar 2009        966,577 members      "
Gintama,8.95,"        TV (201 eps)        Apr 2006 - Mar 2010        814,276 members      "
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.95,"        Movie (1 eps)        Jul 2013 - Jul 2013        181,245 members      "
Fruits Basket: The Final,8.93,"        TV (13 eps)        Apr 2021 -         153,719 members      "
Kimi no Na wa.,8.92,"        Movie (1 eps)        Aug 2016 - Aug 2016        1,947,617 members      "
Owarimonogatari 2nd Season,8.92,"        TV (7 eps)        Aug 2017 - Aug 2017        295,427 members      "
Code Geass: Hangyaku no Lelouch R2,8.91,"        TV (25 eps)        Apr 2008 - Sep 2008        1,363,349 members      "
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.87,"        TV (14 eps)        Jul 2018 - Oct 2018        128,045 members      "
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.83,"        TV (10 eps)        Oct 2016 - Dec 2016        831,636 members      "
Mob Psycho 100 II,8.83,"        TV (13 eps)        Jan 2019 - Apr 2019        955,778 members      "
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.81,"        Movie (1 eps)        Aug 2020 - Aug 2020        180,081 members      "
Gintama.: Shirogane no Tamashii-hen,8.81,"        TV (12 eps)        Jan 2018 - Mar 2018        141,190 members      "
Kizumonogatari III: Reiketsu-hen,8.81,"        Movie (1 eps)        Jan 2017 - Jan 2017        339,658 members      "
Sen to Chihiro no Kamikakushi,8.81,"        Movie (1 eps)        Jul 2001 - Jul 2001        1,365,701 members      "
Gintama: The Final,8.8,"        Movie (1 eps)        Jan 2021 - Jan 2021        42,283 members      "
Jujutsu Kaisen (TV),8.78,"        TV (24 eps)        Oct 2020 - Mar 2021        1,155,041 members      "
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.78,"        Movie (1 eps)        Oct 2020 - Oct 2020        568,233 members      "
Monogatari Series: Second Season,8.78,"        TV (26 eps)        Jul 2013 - Dec 2013        540,589 members      "
Monster,8.78,"        TV (74 eps)        Apr 2004 - Sep 2005        683,971 members      "
Cowboy Bebop,8.77,"        TV (26 eps)        Apr 1998 - Apr 1999        1,356,167 members      "
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.77,"        TV (12 eps)        Jan 2017 - Mar 2017        149,740 members      "
